category_id;category_name
1;perfumaria
2;artes
3;esporte_lazer
4;bebes
5;utilidades_domesticas
6;instrumentos_musicais
7;cool_stuff
8;moveis_decoracao
9;eletrodomesticos
10;brinquedos
11;cama_mesa_banho
12;construcao_ferramentas_seguranca
13;informatica_acessorios
14;beleza_saude
15;malas_acessorios
16;ferramentas_jardim
17;moveis_escritorio
18;automotivo
19;eletronicos
20;fashion_calcados
21;telefonia
22;papelaria
23;fashion_bolsas_e_acessorios
24;pcs
25;casa_construcao
26;relogios_presentes
27;construcao_ferramentas_construcao
28;pet_shop
29;eletroportateis
30;agro_industria_e_comercio
31;
32;moveis_sala
33;sinalizacao_e_seguranca
34;climatizacao
35;consoles_games
36;livros_interesse_geral
37;construcao_ferramentas_ferramentas
38;fashion_underwear_e_moda_praia
39;fashion_roupa_masculina
40;moveis_cozinha_area_de_servico_jantar_e_jardim
41;industria_comercio_e_negocios
42;telefonia_fixa
43;construcao_ferramentas_iluminacao
44;livros_tecnicos
45;eletrodomesticos_2
46;artigos_de_festas
47;bebidas
48;market_place
49;la_cuisine
50;construcao_ferramentas_jardim
51;fashion_roupa_feminina
52;casa_conforto
53;audio
54;alimentos_bebidas
55;musica
56;alimentos
57;tablets_impressao_imagem
58;livros_importados
59;portateis_casa_forno_e_cafe
60;fashion_esporte
61;artigos_de_natal
62;fashion_roupa_infanto_juvenil
63;dvds_blu_ray
64;artes_e_artesanato
65;pc_gamer
66;moveis_quarto
67;cine_foto
68;fraldas_higiene
69;flores
70;casa_conforto_2
71;portateis_cozinha_e_preparadores_de_alimentos
72;seguros_e_servicos
73;moveis_colchao_e_estofado
74;cds_dvds_musicais
